acc	subtype	type
387695	1.3	entrez
80022	1.3	entrez
120071	1.3	entrez
54947	1.3	entrez
100507312	1.3	entrez
25894	1.3	entrez
4800	1.3	entrez
3171	1.3	entrez
27330	1.3	entrez
65986	1.3	entrez
6533	1.3	entrez
3955	1.3	entrez
3549	1.3	entrez
127845	1.3	entrez
3236	1.3	entrez
148418	1.3	entrez
401546	1.3	entrez
83879	1.3	entrez
134548	1.3	entrez
5787	1.3	entrez
23554	1.3	entrez
3172	1.3	entrez
341640	1.3	entrez
389434	1.3	entrez
284422	1.3	entrez
79784	1.3	entrez
25953	1.3	entrez
85285	1.3	entrez
4648	1.3	entrez
100289255	1.3	entrez
124975	1.3	entrez
645249	1.3	entrez
390963	1.3	entrez
644943	1.3	entrez
101060264	1.3	entrez
151230	1.3	entrez
22834	1.3	entrez
118471	1.3	entrez
51302	1.3	entrez
57477	1.3	entrez
3310	1	entrez
6352	1	entrez
91624	1	entrez
170575	1	entrez
139411	1	entrez
146722	1	entrez
26112	1	entrez
80760	1	entrez
2296	1	entrez
404203	1	entrez
9180	1	entrez
10457	1	entrez
253827	1	entrez
389336	1	entrez
3683	1	entrez
26002	1	entrez
220965	1	entrez
2207	1	entrez
11259	1	entrez
5743	1	entrez
716	1	entrez
3689	1	entrez
2113	1	entrez
23157	1	entrez
5797	1	entrez
64092	1	entrez
123920	1	entrez
6876	1	entrez
51338	1	entrez
64581	1	entrez
10631	1	entrez
7431	1	entrez
3488	1	entrez
645784	1	entrez
79689	1	entrez
9976	1	entrez
27145	1	entrez
221091	1	entrez
149478	1	entrez
100506311	1	entrez
9358	1	entrez
284119	1	entrez
100127983	1	entrez
2335	1	entrez
5175	1	entrez
4211	1	entrez
283897	1	entrez
53918	1	entrez
89857	1	entrez
2012	1	entrez
4629	1	entrez
9260	1	entrez
4638	1	entrez
4323	1	entrez
4478	1	entrez
1465	1	entrez
6678	1	entrez
2934	1	entrez
8404	1	entrez
2316	1	entrez
23022	1	entrez
59	1	entrez
309	1	entrez
710	1	entrez
10628	1	entrez
301	1	entrez
1843	1	entrez
10398	1	entrez
2040	1	entrez
4313	1	entrez
3956	1	entrez
7057	1	entrez
1363	1	entrez
3115	1	entrez
7078	1	entrez
3490	1	entrez
8553	1	entrez
5654	1	entrez
633	1	entrez
231	1	entrez
3491	1	entrez
5621	1	entrez
2026	1	entrez
2878	1	entrez
7345	1	entrez
3678	1	entrez
10437	1	entrez
1809	1	entrez
1293	1	entrez
3487	1	entrez
347	1	entrez
7538	1	entrez
2273	1	entrez
25932	1	entrez
6624	1	entrez
56255	1	entrez
800	1	entrez
684	1	entrez
3371	1	entrez
7076	1	entrez
2697	1	entrez
1958	1	entrez
7805	1	entrez
6446	1	entrez
929	1	entrez
4060	1	entrez
2192	1	entrez
165	1	entrez
26509	1	entrez
9467	1	entrez
8933	1	entrez
2202	1	entrez
1281	1	entrez
5552	1	entrez
5327	1	entrez
